Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,Congo,protein,g,2010,54.26
No Climate Change,no,Reference,yes,,Congo,iron,mg,2010,17.36
No Climate Change,no,Reference,yes,,Congo,zinc,mg,2010,8.12
No Climate Change,no,Reference,yes,,Colombia,protein,g,2010,76.84
No Climate Change,no,Reference,yes,,Colombia,iron,mg,2010,15.98
No Climate Change,no,Reference,yes,,Colombia,zinc,mg,2010,12.75
No Climate Change,no,Reference,yes,,Other Caribbean,protein,g,2010,90.79
No Climate Change,no,Reference,yes,,Other Caribbean,iron,mg,2010,18.95
No Climate Change,no,Reference,yes,,Other Caribbean,zinc,mg,2010,13.78
No Climate Change,no,Reference,yes,,Costa Rica,protein,g,2010,87.31
No Climate Change,no,Reference,yes,,Costa Rica,iron,mg,2010,17.35
No Climate Change,no,Reference,yes,,Costa Rica,zinc,mg,2010,13.50
No Climate Change,no,Reference,yes,,Cuba,protein,g,2010,87.11
No Climate Change,no,Reference,yes,,Cuba,iron,mg,2010,23.56
No Climate Change,no,Reference,yes,,Cuba,zinc,mg,2010,14.62
No Climate Change,no,Reference,yes,,Cyprus,protein,g,2010,96.16
No Climate Change,no,Reference,yes,,Cyprus,iron,mg,2010,17.00
No Climate Change,no,Reference,yes,,Cyprus,zinc,mg,2010,14.06
No Climate Change,no,Reference,yes,,Czech Republic,protein,g,2010,118.48
No Climate Change,no,Reference,yes,,Czech Republic,iron,mg,2010,21.90
No Climate Change,no,Reference,yes,,Czech Republic,zinc,mg,2010,18.32
No Climate Change,no,Reference,yes,,Germany,protein,g,2010,119.21
No Climate Change,no,Reference,yes,,Germany,iron,mg,2010,19.89
No Climate Change,no,Reference,yes,,Germany,zinc,mg,2010,18.09
No Climate Change,no,Reference,yes,,Djibouti,protein,g,2010,58.24
No Climate Change,no,Reference,yes,,Djibouti,iron,mg,2010,17.58
No Climate Change,no,Reference,yes,,Djibouti,zinc,mg,2010,9.12
No Climate Change,no,Reference,yes,,Denmark,protein,g,2010,147.53
No Climate Change,no,Reference,yes,,Denmark,iron,mg,2010,24.95
No Climate Change,no,Reference,yes,,Denmark,zinc,mg,2010,22.62
No Climate Change,no,Reference,yes,,Dominican Republic,protein,g,2010,70.79
No Climate Change,no,Reference,yes,,Dominican Republic,iron,mg,2010,14.41
No Climate Change,no,Reference,yes,,Dominican Republic,zinc,mg,2010,10.54
No Climate Change,no,Reference,yes,,Middle East & North Africa,protein,g,2010,113.23
No Climate Change,no,Reference,yes,,Middle East & North Africa,iron,mg,2010,27.64
No Climate Change,no,Reference,yes,,Middle East & North Africa,zinc,mg,2010,19.52
No Climate Change,no,Reference,yes,,Algeria,protein,g,2010,118.68
No Climate Change,no,Reference,yes,,Algeria,iron,mg,2010,29.48
No Climate Change,no,Reference,yes,,Algeria,zinc,mg,2010,21.46
No Climate Change,no,Reference,yes,,Ecuador,protein,g,2010,72.53
No Climate Change,no,Reference,yes,,Ecuador,iron,mg,2010,13.77
No Climate Change,no,Reference,yes,,Ecuador,zinc,mg,2010,11.60
No Climate Change,no,Reference,yes,,Egypt,protein,g,2010,118.84
No Climate Change,no,Reference,yes,,Egypt,iron,mg,2010,28.95
No Climate Change,no,Reference,yes,,Egypt,zinc,mg,2010,20.10
No Climate Change,no,Reference,yes,,Eritrea,protein,g,2010,48.68
No Climate Change,no,Reference,yes,,Eritrea,iron,mg,2010,23.10
No Climate Change,no,Reference,yes,,Eritrea,zinc,mg,2010,8.10
No Climate Change,no,Reference,yes,,Ethiopia,protein,g,2010,68.46
No Climate Change,no,Reference,yes,,Ethiopia,iron,mg,2010,49.88
No Climate Change,no,Reference,yes,,Ethiopia,zinc,mg,2010,12.92
No Climate Change,no,Reference,yes,,Fiji,protein,g,2010,93.59
No Climate Change,no,Reference,yes,,Fiji,iron,mg,2010,23.24
No Climate Change,no,Reference,yes,,Fiji,zinc,mg,2010,16.80
No Climate Change,no,Reference,yes,,Finland,protein,g,2010,126.02
No Climate Change,no,Reference,yes,,Finland,iron,mg,2010,18.63
No Climate Change,no,Reference,yes,,Finland,zinc,mg,2010,18.60
No Climate Change,no,Reference,yes,,France,protein,g,2010,134.74
No Climate Change,no,Reference,yes,,France,iron,mg,2010,23.36
No Climate Change,no,Reference,yes,,France,zinc,mg,2010,20.40
No Climate Change,no,Reference,yes,,Gabon,protein,g,2010,88.77
No Climate Change,no,Reference,yes,,Gabon,iron,mg,2010,22.63
No Climate Change,no,Reference,yes,,Gabon,zinc,mg,2010,11.05
No Climate Change,no,Reference,yes,,Georgia,protein,g,2010,108.06
No Climate Change,no,Reference,yes,,Georgia,iron,mg,2010,23.64
No Climate Change,no,Reference,yes,,Georgia,zinc,mg,2010,19.13
No Climate Change,no,Reference,yes,,Ghana,protein,g,2010,67.80
No Climate Change,no,Reference,yes,,Ghana,iron,mg,2010,23.23
No Climate Change,no,Reference,yes,,Ghana,zinc,mg,2010,10.61
No Climate Change,no,Reference,yes,,Guinea,protein,g,2010,55.74
No Climate Change,no,Reference,yes,,Guinea,iron,mg,2010,24.16
No Climate Change,no,Reference,yes,,Guinea,zinc,mg,2010,9.05
No Climate Change,no,Reference,yes,,Gambia,protein,g,2010,61.62
No Climate Change,no,Reference,yes,,Gambia,iron,mg,2010,24.02
No Climate Change,no,Reference,yes,,Gambia,zinc,mg,2010,10.44
No Climate Change,no,Reference,yes,,Guinea-Bissau,protein,g,2010,54.77
No Climate Change,no,Reference,yes,,Guinea-Bissau,iron,mg,2010,21.39
No Climate Change,no,Reference,yes,,Guinea-Bissau,zinc,mg,2010,9.54
No Climate Change,no,Reference,yes,,Equatorial Guinea,protein,g,2010,43.17
No Climate Change,no,Reference,yes,,Equatorial Guinea,iron,mg,2010,15.24
